,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15314,540005,LTIM,LTIMindtree Ltd,09 Jul 2020,Final Dividend - Rs. - 15.5000,-,13 Jul 2020,18 Jul 2020,06 Jul 2020,10 Jul 2020,-
15315,500124,DRREDDY,Dr Reddys Laboratories Ltd,13 Jul 2020,Final Dividend - Rs. - 25.0000,-,15 Jul 2020,17 Jul 2020,08 Jul 2020,14 Jul 2020,-
15316,500123,ELANTAS,Elantas Beck India Ltd,13 Jul 2020,Final Dividend - Rs. - 5.0000,-,15 Jul 2020,21 Jul 2020,08 Jul 2020,14 Jul 2020,-
15317,500408,TATAELXSI,Tata Elxsi Ltd,13 Jul 2020,Final Dividend - Rs. - 16.5000,-,15 Jul 2020,21 Jul 2020,08 Jul 2020,14 Jul 2020,-
15318,507817,WIREFABR,Wires & Fabriks SA Ltd,13 Jul 2020,Final Dividend - Rs. - 0.1000,14 Jul 2020,-,-,07 Jul 2020,13 Jul 2020,-
15319,500472,SKFINDIA,SKF India Ltd,14 Jul 2020,Special Dividend - Rs. - 130.0000,-,16 Jul 2020,23 Jul 2020,09 Jul 2020,15 Jul 2020,-
15320,500400,TATAPOWER,Tata Power Company Ltd,14 Jul 2020,Dividend - Rs. - 1.5500,-,16 Jul 2020,30 Jul 2020,09 Jul 2020,15 Jul 2020,-
15321,505036,ACGL,Automobile Corporation of Goa Ltd,15 Jul 2020,Final Dividend - Rs. - 5.0000,-,17 Jul 2020,21 Jul 2020,10 Jul 2020,16 Jul 2020,-
15322,532522,PETRONET,Petronet LNG Ltd,15 Jul 2020,Final Dividend - Rs. - 7.0000,16 Jul 2020,-,-,09 Jul 2020,15 Jul 2020,-
15323,537259,SUYOG,Suyog Telematics Ltd,15 Jul 2020,Interim Dividend - Rs. - 0.5000,16 Jul 2020,-,-,09 Jul 2020,15 Jul 2020,-
15324,505412,WENDT,Wendt (India) Ltd,15 Jul 2020,Final Dividend - Rs. - 25.0000,-,17 Jul 2020,24 Jul 2020,10 Jul 2020,16 Jul 2020,-
15325,500002,ABB,ABB India Ltd,16 Jul 2020,Dividend - Rs. - 4.8000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
15326,533138,ASTEC,Astec Lifesciences Ltd,16 Jul 2020,Final Dividend - Rs. - 1.5000,-,18 Jul 2020,21 Jul 2020,13 Jul 2020,16 Jul 2020,-
15327,501425,BBTC,Bombay Burmah Trading Corporation Ltd,16 Jul 2020,Dividend - Rs. - 1.2000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
